업종,업체명,대표자명,도로명주소,지번주소,위도,경도,전화번호,데이터기준일자
대행업체,(주)삼원전기안전관리,정재섭,경기도 수원시 영통구 창룡대로256번길 77 1층 127호,경기도 수원시 영통구 이의동 1286,37.2961441,127.0409946,031-5186-6097,2021-08-03
대행업체,케이비전기안전,이병재,경기도 수원시 팔달구 정조로 651 매교종합상가 1동 2층 239호,경기도 수원시 팔달구 매교동 161,37.26666941,127.0156538,031-258-8193,2021-08-03
대행업체,한국전기,김현섭,경기도 수원시 권선구 경수대로235번길 3 3층,경기도 수원시 권선구 세류동 1150-17,37.24841837,127.0173512,031-225-8009,2021-08-03
대행업체,국제전기안전공사(주),송종환+임진우,경기도 수원시 장안구 화산로125번길 5 근린생활시설-3 305호,경기도 수원시 장안구 천천동 334-1,37.29426027,126.9803182,031-295-8110,2021-08-03
대행업체,(주)테스,현경진,경기도 수원시 영통구 영일로6번길 54 프라자빌딩 10층 10-1,경기도 수원시 영통구 영통동 1024-16,37.24799337,127.078911,031-204-1288,2021-08-03
대행업체,한국전기엔지니어링(주),서상덕,경기도 수원시 팔달구 매산로116번길 73-9 ,경기도 수원시 팔달구 매교동 122-1,37.26868266,127.0152665,031-233-8302,2021-08-03
대행업체,삼흥관리시스템(주)경기지점,박희태,경기도 수원시 팔달구 매산로 51 12층 1218호(매산로2가 동인트루빌3오피스텔),경기도 수원시 팔달구 매산로2가 40-1,37.26918767,127.006873,02-333-3215,2021-08-03
대행업체,(주)대림안전관리,강경문+유병만,경기도 수원시 권선구 권선로 308-18 수원종합공구단지 305-213,경기도 수원시 권선구 고색동 986,37.25407432,126.9853765,031-298-9431,2021-08-03
대행업체,남부전기이앤지(주),황임주,경기도 수원시 영통구 영통로 237 420호 (에이스하이엔드타워),경기도 수원시 영통구 신동 338,37.24866785,127.0570044,031-273-8152,2021-08-03
대행업체,(주)경기안전관리이엔지,이성재,경기도 수원시 권선구 오목천로 54 213호,경기도 수원시 권선구 오목천동 558-7,37.23964376,126.9684483,031-295-1919,2021-08-03
대행업체,(주)한국전기관리,전홍선,경기도 수원시 권선구 권선로694번길 10 201호,경기도 수원시 권선구 권선동 1029-4,37.25862985,127.0267624,031-224-6733,2021-08-03
대행업체,(주)신우전기안전,장종찬,경기도 수원시 영통구 인계로 219 삼성1차종합상가105호,경기도 수원시 영통구 매탄동 810-3,37.26558864,127.0413586,031-333-9443,2021-08-03
대행업체,(주)대호전기관리공사,조행래,경기도 수원시 권선구 서호서로33번길 27 1층,경기도 수원시 권선구 서둔동 146-18,37.26996908,126.9840898,031-227-8227,2021-08-03
대행업체,(주)에이치디에스자산관리,박주영,경기도 수원시 장안구 연무로 53 3층 (한동빌딩) ,경기도 수원시 장안구 연무동 234,37.29552769,127.0256485,031-242-3676,2021-08-03
대행업체,화도전기안전관리(주),강재규+홍승초,경기도 수원시 권선구 구운로45번길 8-15 2층(구운동),경기도 수원시 권선구 구운동 967-1,37.27737968,126.9722885,031-294-2295,2021-08-03
대행업체,(주)한빛,권오원,경기도 수원시 권선구 서둔로 261 303호(금강빌딩),경기도 수원시 권선구 탑동 1-15,37.27500252,126.9786471,031-242-3398,2021-08-03
대행업체,남부전기기술단(주),허창일,경기도 수원시 팔달구 장다리로 179 현대콤비타운218호,경기도 수원시 팔달구 인계동 997,37.26600976,127.0242155,031-225-8152,2021-08-03
대행업체,남부전기안전관리(주),김달영,경기도 수원시 팔달구 중부대로128번길 9 5층(태양빌딩),경기도 수원시 팔달구 인계동 952-8,37.27777266,127.0301535,031-235-8152,2021-08-03
대행업체,(주)서광전력기술단,박정국,경기도 수원시 권선구 장다리로 87,경기도 수원시 권선구 권선동 993-8,37.25811447,127.0208471,031-258-0588,2021-08-03
대행업체,(주)새롬전기안전기술단,최학열,경기도 수원시 권선구 구운로73번길 21 2층 2,경기도 수원시 권선구 구운동 944-1,37.28000561,126.9712934,031-292-9536,2021-08-03
대행업체,한국파워이엔지(주),안상근,경기도 수원시 권선구 세지로82번길 42 3층+4층,경기도 수원시 권선구 권선동 994,37.2583011,127.0202073,031-236-6301,2021-08-03
대행업체,(주)한국전기이엔지,주남항+정도환+최철용,경기도 수원시 장안구 수성로275번길 133 신미주아파트 상가동 113호,경기도 수원시 장안구 정자동 29-1,37.29515445,126.9981067,031-241-6036,2021-08-03
대행업체,(주)이파워시스템,김윤기,경기도 수원시 권선구 하탑로 70 201호,경기도 수원시 권선구 탑동 888-5,37.26945284,126.979239,031-235-8864,2021-08-03
대행업체,한국전기기술관리,김현종외 3인,경기도 수원시 권선구 서둔로212번길 38 ,경기도 수원시 권선구 서둔동 183-1,37.27117687,126.9812619,031-292-9697,2021-08-03
대행업체,(주)대한전기관리,김성필+안용택+우재원,경기도 수원시 팔달구 장다리로 179 현대콤비타운303호,경기도 수원시 팔달구 인계동 997,37.26600976,127.0242155,031-222-6033,2021-08-03
대행업체,서부전기안전관리(주),권영식,경기도 수원시 장안구 장안로478번길 89 3층,경기도 수원시 장안구 이목동 49-3,37.32180945,126.9760763,031-247-3902,2021-08-03
대행업체,(주)전기안전관리공단,유명현,경기도 수원시 장안구 정자천로188번길 71-21 1층 제1+2호,경기도 수원시 장안구 정자동 30-1,37.29415927,126.998696,031-247-0714,2021-08-03
대행업체,산업전기관리공단,김종채,경기도 수원시 팔달구 인계로94번길 39-17 효림빌딩,경기도 수원시 팔달구 인계동 1023-6,37.2663037,127.0281949,031-234-6728,2021-08-03
대행업체,(주)산업전기,전민수,경기도 수원시 팔달구 인계로94번길 39-17 효림빌딩 4층 3호,경기도 수원시 팔달구 인계동 1023-6,37.2663037,127.0281949,031-233-2360,2021-08-03
대행업체,(주)산업전기안전관리공단,이상종,경기도 수원시 팔달구 경수대로480번길 13 502호,경기도 수원시 팔달구 인계동 949-9,37.26882337,127.0285672,031-232-6728,2021-08-03
대행업체,(주)한국전기관리회사,김수부,경기도 수원시 팔달구 장다리로 179 현대콤비타운 302호,경기도 수원시 팔달구 인계동 997,37.26600976,127.0242155,031-222-8664,2021-08-03
대행업체,(주)한국전기안전관리,이상훈,경기도 수원시 팔달구 팔달로 142 202호,경기도 수원시 팔달구 화서동 67-4,37.28098534,127.0053669,031-256-1722,2021-08-03
대행업체,신우전기안전관리(주),허필교,경기도 수원시 팔달구 수원천로199번길 3 ,경기도 수원시 팔달구 구천동 86,37.27202587,127.0173318,031-237-4122,2021-08-03
대행업체,(주)경기전기안전관리,심영섭,경기도 수원시 장안구 수성로275번길 133 신미주APT상가 103호,경기도 수원시 장안구 정자동 29-1,37.29515445,126.9981067,031-245-4129,2021-08-03
